"","P37ST","S15","S16","S17","S14","S28D","P49ST.A","P49ST.B","P49ST.E","P76ST","P10ST","P4ST","S1NICC7","P6ST","P12ST","P13ST","IDENPA"
"18658","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",34,"Media","Sí","8","8","7","7","Está progresando","Un poco mejor","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"20172","La política no es tan complicada y se entiende","Soltero","Femenino",33,"Media","Sí","8","10 Totalmente democrático","10 Totalmente democrático","10 Derecha","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"6644","La política no es tan complicada y se entiende","Soltero","Masculino",34,"Media","Sí","8","7","8","5","Está progresando","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"162","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",53,"Media","Sí","5","7","5","NS/NR","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"3907","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",32,"Baja","No","8","8","8","10 Derecha","Está progresando","Un poco peor","Bastante","Buena","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"2038","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",24,"Baja","NS/NR","6","9","7","NS/NR","Está estancado","Un poco peor","Mucho","Regular","Muy injusta","NS/NR","Bolivia"
"6623","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",38,"Media","Sí","8","10 Totalmente democrático","10 Totalmente democrático","8","Está progresando","Un poco mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"15846","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",23,"Media","No","4","8","8","NS/NR","Está estancado","Un poco peor","Poco","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"16207","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",30,"Media","Sí","7","8","7","6","Está estancado","Igual","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"3828","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",30,"Baja","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","7","Está progresando","Igual","Mucho","Mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"18005","La política es tan complicada que no se entiende","Soltero","Masculino",25,"Media alta","Sí","8","10 Totalmente democrático","5","3","Está en retroceso","Mucho mejor","Bastante","Regular","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Uruguay"
"7840","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",36,"Media","No","8","10 Totalmente democrático","9","4","Está progresando","Igual","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"19051","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",57,"Baja","No","6","5","6","4","Está progresando","Igual","Bastante","Regular","NS/NR","En algunas circunstancias, un gobierno autoritario puede ser","Venezuela"
"8138","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",28,"Media baja","NS/NR","5","9","9","8","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"6014","La política no es tan complicada y se entiende","Soltero","Masculino",24,"Media","Sí","6","8","8","4","Está estancado","Igual","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"1622","La política es tan complicada que no se entiende","Soltero","Masculino",18,"NS/NR","Sí","6","NS/NR","8","NS/NR","Está progresando","Un poco mejor","Mucho","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"2680","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",22,"Baja","No","9","6","7","5","Está progresando","Un poco mejor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"5819","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",31,"Alta","No","NS/NR","NS/NR","NS/NR","NS/NR","Está estancado","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"18057","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",75,"Baja","No","7","3","5","00 Izquierda","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"6642","La política es tan complicada que no se entiende","NS/NR","Masculino",60,"Alta","No","8","8","8","5","Está estancado","Igual","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"4134","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",60,"Baja","No","8","7","9","5","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3623","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",52,"Media baja","No","3","3","10 Totalmente democrático","5","Está estancado","Mucho peor","Mucho","Muy mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"14944","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",43,"Media baja","No","6","9","8","4","Está en retroceso","Un poco peor","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"6541","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",48,"Media baja","Sí","6","8","9","NS/NR","Está estancado","Igual","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"6274","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",43,"Media","Sí","01 No es democrático","2","3","NS/NR","Está estancado","Igual","Mucho","Muy buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Chile"
"2456","La política no es tan complicada y se entiende","Soltero","Masculino",20,"Baja","No","5","8","5","NS/NR","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"7645","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",61,"Media","No","8","9","7","2","Está progresando","Un poco mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"1165","La política es tan complicada que no se entiende","Soltero","Femenino",27,"Media","Sí","8","8","8","5","Está progresando","Un poco mejor","Mucho","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"19860","La política no es tan complicada y se entiende","Soltero","Femenino",26,"Media","No","10 Totalmente democrático","01 No es democrático","5","4","Está progresando","Igual","Mucho","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"7688","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",40,"Media","Sí","5","5","5","NS/NR","Está progresando","Un poco peor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"539","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",54,"Baja","No","8","7","7","NS/NR","Está estancado","Un poco peor","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"15983","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",60,"Media baja","No","10 Totalmente democrático","3","8","4","Está estancado","Igual","NS/NR","Regular","NS/NR","La democracia es preferible a cualquier otra forma de gobier","Peru"
"7886","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",38,"Baja","No","6","5","6","1","Está progresando","Un poco mejor","Poco","Regular","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Ecuador"
"6445","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",79,"Media baja","No","7","5","8","4","Está estancado","Igual","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"6349","La política no es tan complicada y se entiende","Soltero","Femenino",28,"Media baja","Sí","4","6","6","NS/NR","Está progresando","Igual","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Chile"
"4502","La política es tan complicada que no se entiende","Soltero","Femenino",53,"Baja","No","2","2","4","2","Está progresando","Mucho peor","Mucho","Mala","Muy injusta","NS/NR","Colombia"
"2855","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",60,"Baja","No","6","6","8","3","Está en retroceso","Un poco peor","Mucho","Mala","Muy justa","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"3677","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",35,"Media","No","10 Totalmente democrático","10 Totalmente democrático","8","9","Está progresando","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"533","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",30,"Media baja","Sí","5","NS/NR","NS/NR","NS/NR","Está estancado","Un poco mejor","NS/NR","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"16004","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",45,"Media baja","Sí","5","8","7","5","Está estancado","Igual","Poco","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"1941","La política no es tan complicada y se entiende","Soltero","Femenino",21,"Baja","Sí","01 No es democrático","10 Totalmente democrático","4","2","Está estancado","Igual","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Bolivia"
"15449","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",35,"Media baja","No","4","6","NS/NR","8","Está estancado","Igual","NS/NR","Buena","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"1441","La política es tan complicada que no se entiende","Soltero","Masculino",21,"Media","Sí","5","3","6","5","Está progresando","Un poco mejor","Bastante","Regular","Injusta","NS/NR","Bolivia"
"19597","La política no es tan complicada y se entiende","NS/NR","Masculino",30,"Baja","Sí","8","5","6","3","Está progresando","Un poco peor","Mucho","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"15667","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",38,"Media baja","No","6","8","5","2","Está estancado","Igual","Poco","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"17899","La política no es tan complicada y se entiende","Soltero","Masculino",29,"Media baja","Sí","5","8","NS/NR","3","Está progresando","Mucho mejor","Poco","Regular","Justa","NS/NR","Uruguay"
"14560","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",53,"Baja","No","6","9","8","5","Está estancado","Un poco peor","Poco","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"19610","La política no es tan complicada y se entiende","Soltero","Masculino",29,"Media baja","Sí","10 Totalmente democrático","01 No es democrático","8","2","Está progresando","Mucho mejor","Nada","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"18379","La política no es tan complicada y se entiende","Soltero","Masculino",21,"Media","Sí","6","8","8","8","Está progresando","Un poco mejor","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"7581","La política es tan complicada que no se entiende","Soltero","Femenino",27,"Media alta","No","3","5","4","NS/NR","Está progresando","Un poco mejor","Mucho","Buena","Muy justa","A la gente como uno, nos da lo mismo un régimen democrático","Ecuador"
"6454","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",38,"Media baja","Sí","4","6","7","NS/NR","Está estancado","Igual","Bastante","Regular","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Chile"
"6736","La política no es tan complicada y se entiende","Soltero","Masculino",18,"Media baja","Sí","5","7","5","NS/NR","Está estancado","Igual","NS/NR","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"3794","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",43,"Media alta","Sí","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","5","Está progresando","Mucho mejor","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"1075","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",43,"Media","Sí","8","6","7","5","Está progresando","Igual","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"2156","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",30,"Baja","No","7","7","7","5","Está progresando","Un poco mejor","Mucho","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"19143","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",37,"Media alta","NS/NR","10 Totalmente democrático","9","10 Totalmente democrático","1","Está progresando","Igual","Nada","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Venezuela"
"3756","La política no es tan complicada y se entiende","Soltero","Masculino",54,"Media baja","No","5","5","5","7","Está estancado","Un poco peor","Mucho","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"1176","La política no es tan complicada y se entiende","Soltero","Femenino",26,"Media baja","Sí","7","8","6","10 Derecha","Está progresando","Un poco mejor","Poco","Buena","Muy justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"18901","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",41,"Media baja","Sí","8","8","10 Totalmente democrático","5","Está progresando","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"19439","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",77,"Baja","No","6","8","6","5","Está estancado","Un poco mejor","Mucho","Regular","NS/NR","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"18653","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",70,"Media","Sí","9","8","9","8","Está progresando","Igual","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"1012","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",66,"Media","No","8","8","6","NS/NR","Está estancado","Igual","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"4062","La política no es tan complicada y se entiende","Soltero","Femenino",24,"Media baja","No","7","4","NS/NR","NS/NR","Está estancado","Igual","Mucho","Mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"1752","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",42,"Media","Sí","7","8","9","5","Está progresando","Un poco mejor","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"20176","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",24,"Media","Sí","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","00 Izquierda","Está progresando","Un poco peor","Bastante","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"2277","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",37,"Baja","No","6","NS/NR","NS/NR","NS/NR","Está progresando","Igual","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"4606","La política no es tan complicada y se entiende","Soltero","Masculino",21,"Media","Sí","7","8","8","3","Está en retroceso","Igual","Mucho","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"18757","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",36,"Media","Sí","10 Totalmente democrático","10 Totalmente democrático","8","10 Derecha","Está progresando","Igual","Bastante","NS/NR","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Uruguay"
"15834","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",56,"Media baja","Sí","5","8","5","4","Está progresando","Mucho peor","Poco","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"4483","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",20,"Baja","No","5","8","10 Totalmente democrático","5","Está en retroceso","Igual","Mucho","Buena","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"3383","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",27,"Media","Sí","5","6","4","5","Está progresando","Un poco mejor","Poco","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Brazil"
"1871","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",23,"Media","No","7","6","8","5","Está estancado","Un poco peor","Bastante","Regular","Muy justa","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"2100","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",28,"Media baja","No","8","NS/NR","NS/NR","3","Está estancado","Mucho mejor","Bastante","Mala","Justa","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"19237","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",59,"Media baja","No","10 Totalmente democrático","6","6","3","Está progresando","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"6531","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",52,"Media baja","Sí","5","5","01 No es democrático","5","Está estancado","Un poco peor","Mucho","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"19273","La política es tan complicada que no se entiende","Soltero","Masculino",21,"Media","No","4","7","6","NS/NR","Está estancado","Igual","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Venezuela"
"7189","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",67,"Baja","No","3","8","7","NS/NR","Está en retroceso","Un poco peor","NS/NR","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"14496","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",62,"Media","No","7","8","7","3","Está progresando","Un poco mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"17819","La política no es tan complicada y se entiende","Soltero","Masculino",22,"Media alta","Sí","4","9","5","7","Está estancado","Mucho mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"436","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",25,"Media","Sí","8","5","6","5","Está estancado","Igual","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"2113","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",45,"Baja","No","4","NS/NR","8","4","Está en retroceso","Un poco peor","Bastante","NS/NR","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"7486","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",25,"Media","No","6","7","5","4","Está estancado","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"18610","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",25,"Baja","No","8","2","NS/NR","NS/NR","Está progresando","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"6008","La política no es tan complicada y se entiende","Soltero","Femenino",23,"Media","Sí","6","8","8","5","Está estancado","Igual","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"4281","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",21,"Baja","No","6","8","6","6","Está estancado","Mucho peor","Mucho","Regular","Muy justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"16476","La política es tan complicada que no se entiende","Soltero","Femenino",62,"Baja","No","4","8","10 Totalmente democrático","5","Está estancado","Un poco peor","NS/NR","Mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"2274","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",45,"Media baja","No","5","4","5","5","Está estancado","Igual","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Bolivia"
"18524","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",80,"Media","Sí","6","8","10 Totalmente democrático","NS/NR","Está en retroceso","Un poco peor","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"1289","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",41,"Media","Sí","5","9","9","5","NS/NR","Un poco peor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"3782","La política no es tan complicada y se entiende","Soltero","Masculino",33,"Media alta","Sí","6","8","7","8","Está estancado","Igual","Poco","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"719","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",40,"Media","No","6","5","6","2","Está progresando","Un poco peor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"965","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",26,"Baja","Sí","4","6","6","NS/NR","Está estancado","Un poco peor","Bastante","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"18966","La política es tan complicada que no se entiende","Soltero","Masculino",28,"Media","Sí","10 Totalmente democrático","8","8","2","Está progresando","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"19299","La política es tan complicada que no se entiende","Soltero","Femenino",72,"Media baja","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","NS/NR","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"2285","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",24,"NS/NR","No","5","NS/NR","NS/NR","NS/NR","NS/NR","NS/NR","NS/NR","Buena","Justa","NS/NR","Bolivia"
"19115","La política es tan complicada que no se entiende","Soltero","Femenino",24,"Baja","Sí","8","10 Totalmente democrático","10 Totalmente democrático","3","Está estancado","Un poco mejor","Mucho","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Venezuela"
"18848","La política es tan complicada que no se entiende","Soltero","Masculino",30,"Media baja","No","8","10 Totalmente democrático","9","5","Está estancado","Un poco mejor","Bastante","Regular","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Uruguay"
"1741","La política es tan complicada que no se entiende","Soltero","Femenino",36,"NS/NR","No","10 Totalmente democrático","10 Totalmente democrático","6","8","Está progresando","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Bolivia"
"2939","La política no es tan complicada y se entiende","Soltero","Masculino",49,"Media","No","5","6","5","5","Está progresando","Un poco mejor","Poco","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"2091","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",51,"Media baja","Sí","8","2","6","1","Está progresando","Un poco mejor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"16524","La política no es tan complicada y se entiende","Soltero","Masculino",24,"Baja","No","10 Totalmente democrático","6","5","6","Está estancado","Igual","NS/NR","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"15140","La política no es tan complicada y se entiende","Soltero","Masculino",45,"Baja","No","8","9","5","8","Está progresando","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"16228","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",40,"Media","No","10 Totalmente democrático","9","2","00 Izquierda","Está progresando","Un poco peor","NS/NR","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Peru"
"14970","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",37,"Media","No","3","NS/NR","NS/NR","NS/NR","Está estancado","Un poco mejor","Mucho","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"2302","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",24,"Media baja","No","5","6","NS/NR","5","Está estancado","Un poco peor","Poco","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Bolivia"
"3668","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",55,"Baja","No","6","8","8","7","Está progresando","Un poco mejor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"16529","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",34,"Media","No","5","5","3","5","Está estancado","Un poco peor","Nada","Muy mala","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"2964","La política es tan complicada que no se entiende","Soltero","Masculino",19,"Media alta","Sí","5","7","6","5","Está progresando","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"18268","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",42,"Media","Sí","9","4","4","5","Está estancado","Mucho mejor","Bastante","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Uruguay"
"3727","La política no es tan complicada y se entiende","Soltero","Femenino",21,"Media","Sí","7","8","8","7","Está progresando","Un poco mejor","Poco","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"15656","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",39,"Media","Sí","7","NS/NR","7","5","Está progresando","Un poco mejor","Nada","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Peru"
"19739","La política es tan complicada que no se entiende","Soltero","Masculino",42,"Media","Sí","5","2","4","5","Está estancado","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"18557","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",31,"Baja","Sí","10 Totalmente democrático","NS/NR","NS/NR","NS/NR","Está en retroceso","Mucho peor","Mucho","Muy mala","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Uruguay"
"5933","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",75,"Baja","No","10 Totalmente democrático","10 Totalmente democrático","NS/NR","7","Está en retroceso","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"2498","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",44,"Baja","No","7","8","NS/NR","NS/NR","Está progresando","Un poco mejor","Bastante","Muy mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"6677","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",43,"Media baja","Sí","4","3","5","5","Está estancado","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"16798","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",65,"Baja","No","NS/NR","NS/NR","6","NS/NR","Está estancado","Igual","NS/NR","Mala","Muy injusta","NS/NR","Peru"
"16186","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",24,"Baja","No","8","9","7","7","Está progresando","Un poco mejor","Poco","Buena","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"15063","La política es tan complicada que no se entiende","Soltero","Femenino",20,"Media","Sí","8","10 Totalmente democrático","10 Totalmente democrático","5","Está estancado","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"19147","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",49,"Baja","Sí","10 Totalmente democrático","9","10 Totalmente democrático","1","Está en retroceso","Mucho peor","Nada","Muy mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"15069","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",73,"Media","No","4","9","8","NS/NR","Está estancado","Igual","Bastante","Mala","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"15604","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",35,"Media baja","Sí","5","NS/NR","NS/NR","5","Está estancado","Un poco peor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"1594","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",85,"Media baja","No","4","3","6","5","Está en retroceso","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
