"","P37ST","S15","S16","S17","S14","S28D","P49ST.A","P49ST.B","P49ST.E","P76ST","P10ST","P4ST","S1NICC7","P6ST","P12ST","P13ST","IDENPA"
"3892","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",30,"Media","No","6","8","5","NS/NR","Está progresando","Un poco mejor","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3894","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",42,"Media","Sí","5","6","7","NS/NR","Está estancado","Igual","Mucho","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3895","La política no es tan complicada y se entiende","Soltero","Femenino",25,"Media","Sí","4","5","6","5","Está estancado","Igual","Poco","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"3896","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",50,"Media baja","No","5","8","8","5","Está progresando","Un poco mejor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3897","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",35,"Media baja","Sí","2","9","8","NS/NR","Está estancado","Un poco mejor","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"3898","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",28,"Media","No","6","8","8","7","Está progresando","Igual","Bastante","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3899","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",38,"Media","Sí","8","8","7","5","Está progresando","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3900","La política no es tan complicada y se entiende","Soltero","Masculino",31,"Media","Sí","8","9","7","5","Está progresando","Mucho mejor","Bastante","Muy buena","Muy justa","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3901","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",37,"Baja","No","3","NS/NR","NS/NR","5","Está progresando","Mucho peor","Bastante","Mala","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3902","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",36,"Baja","No","9","8","9","8","Está estancado","Un poco peor","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3904","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",56,"Baja","No","9","8","7","6","NS/NR","Igual","Mucho","Regular","NS/NR","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"3905","La política no es tan complicada y se entiende","Soltero","Masculino",18,"Media","Sí","4","8","9","7","Está en retroceso","Un poco mejor","Mucho","Mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3906","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",20,"Media baja","No","5","9","7","5","Está progresando","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3907","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",32,"Baja","No","8","8","8","10 Derecha","Está progresando","Un poco peor","Bastante","Buena","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"3908","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",36,"Media baja","No","6","NS/NR","NS/NR","5","Está estancado","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3909","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",41,"Baja","No","8","5","NS/NR","NS/NR","Está estancado","Igual","Poco","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3910","La política no es tan complicada y se entiende","Soltero","Masculino",74,"Media baja","No","8","9","7","00 Izquierda","Está en retroceso","Igual","Mucho","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3911","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",47,"Baja","No","8","8","7","5","Está progresando","Mucho peor","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3912","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",31,"Baja","No","7","5","NS/NR","5","Está progresando","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3913","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",27,"Baja","No","5","NS/NR","7","5","Está progresando","Igual","Bastante","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"3914","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",51,"Baja","No","7","9","6","5","Está en retroceso","Un poco mejor","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3915","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",45,"Baja","Sí","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","5","Está estancado","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3916","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",60,"Media baja","Sí","10 Totalmente democrático","9","5","9","Está progresando","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3917","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",22,"Media baja","No","5","8","8","1","Está estancado","Un poco peor","Mucho","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3918","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",73,"Media baja","No","10 Totalmente democrático","NS/NR","NS/NR","10 Derecha","Está progresando","Igual","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3919","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",43,"Media","No","10 Totalmente democrático","9","9","1","Está progresando","Un poco peor","Poco","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3920","La política no es tan complicada y se entiende","Soltero","Masculino",40,"Media","No","7","7","7","5","Está estancado","Igual","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3921","La política es tan complicada que no se entiende","Soltero","Masculino",19,"Media","No","7","6","NS/NR","00 Izquierda","Está progresando","Un poco mejor","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3922","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",29,"Baja","No","5","7","NS/NR","NS/NR","Está estancado","NS/NR","Mucho","Regular","Injusta","NS/NR","Colombia"
"3923","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",45,"Baja","No","10 Totalmente democrático","8","NS/NR","5","Está estancado","Un poco peor","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3924","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",21,"Media","No","5","6","6","3","Está progresando","Un poco mejor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3925","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",33,"Media baja","No","6","8","8","6","Está estancado","Un poco peor","Poco","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3926","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",56,"Baja","No","4","3","2","8","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3927","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",34,"Baja","No","8","8","8","4","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3928","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",30,"Baja","No","5","10 Totalmente democrático","10 Totalmente democrático","5","Está progresando","Un poco mejor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3930","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",64,"Baja","No","4","10 Totalmente democrático","7","10 Derecha","Está progresando","Un poco mejor","Bastante","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3931","La política es tan complicada que no se entiende","Soltero","Masculino",33,"Media baja","No","8","10 Totalmente democrático","7","5","Está progresando","Igual","Bastante","Buena","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3932","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",56,"Baja","Sí","8","4","NS/NR","9","Está estancado","Igual","Bastante","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3933","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",69,"Baja","No","4","6","6","NS/NR","Está estancado","Un poco peor","Mucho","Mala","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3934","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",23,"Baja","No","5","6","5","3","Está estancado","Un poco mejor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3935","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",19,"Media baja","No","6","8","2","8","Está estancado","Igual","Mucho","Regular","Justa","NS/NR","Colombia"
"3936","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",29,"Media","No","9","7","7","9","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3937","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",48,"Baja","No","10 Totalmente democrático","5","5","8","Está progresando","Mucho mejor","Mucho","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3938","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",27,"Baja","No","8","6","7","5","Está progresando","Igual","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3939","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",53,"Media baja","No","8","8","NS/NR","NS/NR","Está estancado","Igual","Poco","Regular","Injusta","NS/NR","Colombia"
"3940","La política es tan complicada que no se entiende","Soltero","Masculino",39,"Media","No","5","5","7","5","Está progresando","Un poco mejor","Mucho","Regular","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"3941","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",63,"Baja","No","4","10 Totalmente democrático","NS/NR","5","Está estancado","Un poco peor","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3942","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",66,"Baja","No","10 Totalmente democrático","8","6","9","Está estancado","Igual","Bastante","Mala","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3943","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",53,"Media baja","Sí","8","9","8","8","Está progresando","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3944","La política es tan complicada que no se entiende","Soltero","Femenino",48,"Alta","Sí","6","8","NS/NR","6","Está en retroceso","Mucho peor","Bastante","Muy buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"3945","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",32,"Media","Sí","7","10 Totalmente democrático","8","5","Está progresando","Un poco peor","Mucho","Buena","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3946","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",23,"Baja","No","4","NS/NR","NS/NR","6","Está estancado","Un poco mejor","Mucho","Buena","Injusta","NS/NR","Colombia"
"3947","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",29,"Media baja","No","8","8","NS/NR","NS/NR","Está progresando","Igual","Poco","Buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3948","La política no es tan complicada y se entiende","Soltero","Masculino",22,"Media baja","Sí","8","9","8","5","Está progresando","Un poco mejor","Mucho","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3949","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",59,"Media baja","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","10 Derecha","Está estancado","Un poco peor","Mucho","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3950","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",32,"Baja","No","8","9","8","6","Está en retroceso","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3951","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",32,"Baja","No","8","9","2","8","Está estancado","Igual","Mucho","Mala","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3952","La política no es tan complicada y se entiende","Soltero","Masculino",22,"Baja","No","9","6","7","8","Está progresando","Un poco mejor","Bastante","Mala","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3953","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",22,"Media baja","No","10 Totalmente democrático","8","01 No es democrático","5","Está progresando","Igual","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3954","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",57,"Baja","No","4","6","4","8","Está progresando","Un poco mejor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3955","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",38,"Media baja","No","6","8","NS/NR","4","Está estancado","Un poco peor","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"3956","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",32,"Media baja","Sí","8","9","8","8","Está estancado","Un poco peor","Bastante","Regular","Muy justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3957","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",21,"Baja","No","8","9","4","9","Está estancado","Un poco mejor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3958","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",58,"Baja","No","8","8","5","4","Está estancado","Mucho peor","Bastante","Regular","Injusta","NS/NR","Colombia"
"3959","La política es tan complicada que no se entiende","Soltero","Masculino",38,"Baja","No","4","2","5","8","Está estancado","Igual","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3960","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",43,"Media","No","5","7","7","NS/NR","Está estancado","Igual","Mucho","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3961","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",43,"Media","No","7","7","7","6","Está estancado","Un poco mejor","Mucho","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3962","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",34,"Media baja","No","4","8","9","7","Está en retroceso","Igual","Mucho","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3963","La política es tan complicada que no se entiende","Soltero","Masculino",22,"Baja","No","4","7","7","3","Está progresando","Igual","Bastante","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"3964","La política no es tan complicada y se entiende","Soltero","Masculino",54,"Media","No","01 No es democrático","01 No es democrático","8","5","Está en retroceso","Igual","Mucho","Regular","Injusta","NS/NR","Colombia"
"3965","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",59,"Media alta","Sí","6","9","8","6","Está progresando","Un poco peor","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3966","La política es tan complicada que no se entiende","Soltero","Femenino",18,"Media","No","2","9","4","2","Está en retroceso","Mucho peor","Mucho","Regular","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"3967","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",32,"Baja","No","7","9","5","8","Está estancado","Igual","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3968","La política no es tan complicada y se entiende","Soltero","Masculino",19,"Baja","No","01 No es democrático","5","7","4","Está estancado","Mucho mejor","Poco","Regular","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"3969","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",62,"Media","Sí","6","7","8","4","Está estancado","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3970","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",34,"Media baja","No","7","9","8","4","Está progresando","Igual","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3971","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",81,"Baja","No","10 Totalmente democrático","NS/NR","NS/NR","7","Está en retroceso","Mucho peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3972","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",24,"Baja","No","6","NS/NR","NS/NR","NS/NR","Está estancado","Un poco peor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3973","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",35,"Baja","No","7","6","8","5","Está en retroceso","Un poco peor","Mucho","Buena","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"3974","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",58,"Baja","No","3","5","5","3","Está progresando","Un poco mejor","Bastante","Buena","Muy justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3975","La política es tan complicada que no se entiende","Soltero","Femenino",39,"Baja","No","6","10 Totalmente democrático","NS/NR","NS/NR","Está en retroceso","Mucho peor","Mucho","Buena","Justa","NS/NR","Colombia"
"3976","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",56,"Baja","No","4","7","3","6","Está en retroceso","Mucho peor","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"3977","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",19,"Baja","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","10 Derecha","Está progresando","Un poco peor","Mucho","Regular","Muy justa","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3978","La política es tan complicada que no se entiende","Soltero","Masculino",36,"Media","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","8","Está progresando","Un poco mejor","Mucho","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3979","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",38,"Baja","No","9","7","6","6","Está progresando","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3980","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",66,"Baja","No","4","7","4","4","Está progresando","Un poco mejor","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3981","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",49,"Baja","No","6","4","01 No es democrático","8","Está estancado","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3982","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",42,"Baja","No","7","4","7","NS/NR","Está progresando","Igual","Mucho","Regular","Injusta","NS/NR","Colombia"
"3983","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",63,"Baja","No","8","6","8","6","Está estancado","Un poco mejor","Mucho","Regular","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3984","La política es tan complicada que no se entiende","Soltero","Masculino",20,"Baja","No","5","4","5","5","Está estancado","Un poco mejor","Bastante","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"3985","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",22,"Media baja","No","8","8","8","5","Está estancado","Un poco mejor","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3986","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",43,"Baja","No","8","8","8","5","Está progresando","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3987","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",29,"Media baja","No","7","7","NS/NR","NS/NR","Está estancado","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3988","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",43,"Media alta","No","6","9","5","6","Está progresando","Un poco peor","Poco","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"3989","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",74,"Baja","No","7","NS/NR","8","8","Está estancado","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3990","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",20,"Media alta","No","7","4","6","10 Derecha","Está progresando","Un poco mejor","Mucho","Buena","Muy justa","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"3991","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",34,"Baja","No","8","NS/NR","NS/NR","6","Está estancado","Un poco peor","Mucho","Buena","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"3992","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",39,"Media baja","No","10 Totalmente democrático","5","8","10 Derecha","Está estancado","Un poco peor","Mucho","Mala","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"3993","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",28,"Media baja","No","8","8","8","10 Derecha","Está progresando","Un poco mejor","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"3994","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",41,"Baja","No","7","8","NS/NR","NS/NR","Está en retroceso","Un poco mejor","Bastante","Regular","Muy injusta","NS/NR","Colombia"
"3995","La política es tan complicada que no se entiende","Soltero","Masculino",49,"Baja","No","7","7","7","8","Está progresando","Un poco peor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3996","La política no es tan complicada y se entiende","Soltero","Femenino",29,"Baja","No","7","7","7","NS/NR","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3997","La política no es tan complicada y se entiende","Soltero","Femenino",21,"Baja","No","7","6","NS/NR","5","Está en retroceso","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3998","La política no es tan complicada y se entiende","Soltero","Masculino",25,"Media alta","No","8","NS/NR","NS/NR","8","Está progresando","Un poco mejor","Bastante","Regular","Injusta","NS/NR","Colombia"
"3999","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",52,"Media baja","No","8","8","7","10 Derecha","Está progresando","Un poco mejor","Mucho","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"4000","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",69,"Media","No","NS/NR","NS/NR","NS/NR","5","Está progresando","Un poco mejor","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"4001","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",31,"Media baja","No","10 Totalmente democrático","NS/NR","NS/NR","NS/NR","Está progresando","Un poco mejor","Nada","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"4002","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",68,"Media baja","No","9","NS/NR","NS/NR","2","Está estancado","Mucho mejor","Mucho","Mala","Injusta","NS/NR","Colombia"
"4003","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",23,"Media baja","Sí","4","5","5","5","Está en retroceso","Un poco mejor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"4004","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",47,"Media","No","10 Totalmente democrático","NS/NR","NS/NR","6","Está progresando","Un poco mejor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"4005","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",39,"Baja","No","7","7","8","8","Está progresando","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"4006","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",30,"Media alta","No","7","9","NS/NR","8","Está progresando","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"4007","La política no es tan complicada y se entiende","Soltero","Masculino",26,"Media","Sí","8","8","8","NS/NR","Está progresando","Un poco peor","Poco","Regular","NS/NR","NS/NR","Colombia"
"4008","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",27,"Media baja","Sí","10 Totalmente democrático","10 Totalmente democrático","9","4","Está progresando","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"4009","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",59,"Media","No","7","NS/NR","NS/NR","10 Derecha","Está progresando","Mucho peor","Bastante","Buena","Injusta","NS/NR","Colombia"
"4010","La política es tan complicada que no se entiende","Soltero","Femenino",19,"Media","Sí","5","7","5","7","Está progresando","Un poco mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"4012","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",63,"Media","Sí","6","8","5","7","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"4013","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",42,"Baja","No","9","10 Totalmente democrático","4","2","Está en retroceso","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"4014","La política no es tan complicada y se entiende","Soltero","Masculino",22,"Media","Sí","9","8","8","NS/NR","Está progresando","NS/NR","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"4015","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",73,"Media baja","Sí","8","6","5","9","Está estancado","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"4016","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",21,"Baja","No","7","10 Totalmente democrático","9","8","Está progresando","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"4017","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",65,"Baja","No","3","NS/NR","NS/NR","NS/NR","Está estancado","Un poco peor","Mucho","Muy mala","NS/NR","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"4018","La política no es tan complicada y se entiende","Soltero","Femenino",23,"Media baja","No","6","7","NS/NR","5","Está estancado","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"4019","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",38,"Baja","No","8","8","6","7","Está progresando","Un poco mejor","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"4020","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",28,"Media","No","7","8","8","10 Derecha","Está progresando","Igual","Mucho","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
