@relation R_data_frame

@attribute S1NICC7 {Bastante,Mucho,NS/NR,'Poco - Nada'}
@attribute S15 {'Casado/ Conviviente',NS/NR,Separado/Divorciado/Viudo,Soltero}
@attribute S16 {Femenino,Masculino}
@attribute S17 numeric
@attribute S14 {Alta,Baja,Media,'Media alta','Media baja',NS/NR}
@attribute S28D {No,NS/NR,Sí}
@attribute P49ST.A {Democrático,'Ni Demo-Ni No Demo','No Democrático',NS/NR}
@attribute P76ST {Centro,Derecha,Izquierda,NS/NR}
@attribute IDENPA {Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Paraguay,Peru,Uruguay,Venezuela}
@attribute P1ST {'Bastante satisfecho','Muy satisfecho','No muy satisfecho',NS/NR,'Para nada satisfecho'}
@attribute P3ST.A {Buena,Mala,'Muy buena','Muy mala',NS/NR,Regular}
@attribute P3ST.B {Buena,Mala,'Muy buena','Muy mala',NS/NR,Regular}
@attribute P4ST {Igual,'Mucho mejor','Mucho peor',NS/NR,'Un poco mejor','Un poco peor'}
@attribute P10ST {'Está progresando','No está progresando'}
@attribute P15N {Empeorado,Mejorado,NS/NR,'Se ha mantenido igual'}
@attribute P19ST {'Grupos poderosos en su propio beneficio',NS/NR,'Para el bien de todo el pueblo'}
@attribute P28NE {Empeorará,Mejorará,NS/NR,'Seguirá igual'}
@attribute P65ST {'No tiene los medios',NS/NR,'Tiene los medios'}
@attribute P6ST {Buena,Mala,'Muy buena','Muy mala',NS/NR,Regular}
@attribute P12ST {Injusta,Justa,'Muy injusta','Muy justa',NS/NR}
@attribute P13ST {'A la gente como uno, nos da lo mismo un régimen democrático','En algunas circunstancias, un gobierno autoritario puede ser','La democracia es preferible a cualquier otra forma de gobier',NS/NR}

@data
Mucho,'Casado/ Conviviente',Masculino,37,Media,Sí,'Ni Demo-Ni No Demo',Centro,Brazil,'Bastante satisfecho',Regular,Mala,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,Separado/Divorciado/Viudo,Femenino,53,Baja,No,'Ni Demo-Ni No Demo',Centro,Brazil,'No muy satisfecho',Regular,Regular,Igual,'No está progresando',NS/NR,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,Injusta,NS/NR
Bastante,'Casado/ Conviviente',Femenino,37,Baja,Sí,'Ni Demo-Ni No Demo',Centro,Brazil,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
Bastante,'Casado/ Conviviente',Femenino,35,'Media baja',Sí,'Ni Demo-Ni No Demo',Centro,Brazil,'Bastante satisfecho',Mala,'Muy mala','Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Femenino,42,'Media baja',Sí,Democrático,NS/NR,Brazil,'Bastante satisfecho',Buena,Regular,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada','Casado/ Conviviente',Femenino,24,'Media baja',No,'Ni Demo-Ni No Demo',Centro,Brazil,'Bastante satisfecho',Mala,Mala,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Empeorará,'Tiene los medios',Buena,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Femenino,35,'Media baja',Sí,'Ni Demo-Ni No Demo',Centro,Brazil,'Bastante satisfecho',Buena,Buena,Igual,'Está progresando',Empeorado,'Grupos poderosos en su propio beneficio',NS/NR,NS/NR,Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Soltero,Masculino,44,Media,No,Democrático,Derecha,Brazil,'Bastante satisfecho',Regular,Mala,'Un poco mejor','Está progresando',NS/NR,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Soltero,Masculino,19,Media,Sí,'Ni Demo-Ni No Demo',NS/NR,Brazil,'Muy satisfecho',NS/NR,Mala,NS/NR,'No está progresando',NS/NR,'Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios','Muy buena','Muy injusta',NS/NR
Bastante,'Casado/ Conviviente',Masculino,29,'Media baja',Sí,'Ni Demo-Ni No Demo',Centro,Brazil,'Bastante satisfecho',Buena,Mala,'Un poco mejor','Está progresando',NS/NR,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,Injusta,NS/NR
'Poco - Nada',Soltero,Femenino,16,Media,No,'Ni Demo-Ni No Demo',NS/NR,Brazil,'Bastante satisfecho',Buena,Mala,Igual,'No está progresando',NS/NR,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,55,Baja,Sí,'Ni Demo-Ni No Demo',Centro,Brazil,'Bastante satisfecho',Regular,Mala,Igual,'No está progresando',NS/NR,'Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Regular,Injusta,NS/NR
'Poco - Nada','Casado/ Conviviente',Femenino,44,Baja,Sí,Democrático,NS/NR,Brazil,'No muy satisfecho',Mala,Mala,'Un poco mejor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Mala,Injusta,NS/NR
'Poco - Nada',Soltero,Masculino,23,Baja,No,'Ni Demo-Ni No Demo',Centro,Brazil,'No muy satisfecho',Mala,Regular,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Mala,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,27,'Media baja',No,'Ni Demo-Ni No Demo',Centro,Brazil,'No muy satisfecho',Regular,Mala,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,34,Media,Sí,'Ni Demo-Ni No Demo',Centro,Brazil,'Bastante satisfecho',Buena,'Muy mala','Un poco mejor','Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada','Casado/ Conviviente',Femenino,75,Media,Sí,'Ni Demo-Ni No Demo',NS/NR,Brazil,'No muy satisfecho',Mala,Mala,'Un poco mejor','No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Mala,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Bastante,Separado/Divorciado/Viudo,Femenino,35,Baja,Sí,Democrático,Izquierda,Brazil,'No muy satisfecho','Muy mala','Muy mala',Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Empeorará,'Tiene los medios',Regular,'Muy injusta','A la gente como uno, nos da lo mismo un régimen democrático'
Mucho,'Casado/ Conviviente',Femenino,23,'Media baja',Sí,'Ni Demo-Ni No Demo',NS/NR,Brazil,'Bastante satisfecho',Regular,Mala,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,'Muy injusta','En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada','Casado/ Conviviente',Masculino,48,'Media baja',Sí,Democrático,NS/NR,Brazil,'Bastante satisfecho',Regular,Regular,Igual,'Está progresando',Mejorado,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,Injusta,NS/NR
Mucho,Separado/Divorciado/Viudo,Masculino,25,Baja,No,NS/NR,NS/NR,Brazil,'Bastante satisfecho',Buena,Buena,'Un poco mejor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,'Muy injusta',NS/NR
'Poco - Nada','Casado/ Conviviente',Masculino,53,'Media baja',No,'Ni Demo-Ni No Demo',Centro,Brazil,'Muy satisfecho',Regular,Regular,'Un poco mejor','Está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,NS/NR
'Poco - Nada','Casado/ Conviviente',Femenino,21,Media,Sí,'Ni Demo-Ni No Demo',NS/NR,Brazil,'Muy satisfecho',Regular,Regular,Igual,'Está progresando',Empeorado,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,'Muy injusta',NS/NR
Bastante,'Casado/ Conviviente',Femenino,64,'Media baja',Sí,NS/NR,NS/NR,Brazil,'Bastante satisfecho',Mala,Regular,'Un poco peor','Está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Justa,'En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada',Soltero,Masculino,23,Media,Sí,'Ni Demo-Ni No Demo',Centro,Brazil,'Bastante satisfecho','Muy mala','Muy mala',Igual,'Está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,'Muy injusta','En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada',Separado/Divorciado/Viudo,Femenino,49,'Media baja',No,'Ni Demo-Ni No Demo',NS/NR,Brazil,'No muy satisfecho',NS/NR,NS/NR,'Un poco mejor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,'Muy injusta',NS/NR
Bastante,Soltero,Masculino,33,'Media baja',No,Democrático,NS/NR,Brazil,'Muy satisfecho',NS/NR,NS/NR,Igual,'Está progresando',NS/NR,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,Justa,NS/NR
Bastante,'Casado/ Conviviente',Femenino,43,'Media baja',No,'Ni Demo-Ni No Demo',NS/NR,Brazil,'Bastante satisfecho',Mala,Mala,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Empeorará,'Tiene los medios',Mala,'Muy injusta','En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada',Soltero,Femenino,26,'Media baja',No,'Ni Demo-Ni No Demo',NS/NR,Brazil,'Bastante satisfecho',Buena,Regular,'Un poco peor','Está progresando',Mejorado,'Grupos poderosos en su propio beneficio','Seguirá igual',NS/NR,Buena,'Muy injusta',NS/NR
Bastante,Separado/Divorciado/Viudo,Masculino,48,'Media baja',Sí,Democrático,NS/NR,Brazil,'Bastante satisfecho',Buena,Buena,'Un poco mejor','No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Justa,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Soltero,Femenino,35,Baja,No,NS/NR,NS/NR,Brazil,'Bastante satisfecho',NS/NR,NS/NR,NS/NR,'No está progresando',NS/NR,NS/NR,Mejorará,'Tiene los medios',Mala,Injusta,NS/NR
'Poco - Nada',Soltero,Masculino,51,Baja,No,NS/NR,NS/NR,Brazil,'Bastante satisfecho',Buena,Buena,Igual,'Está progresando',Empeorado,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,'Muy injusta',NS/NR
'Poco - Nada','Casado/ Conviviente',Femenino,25,Media,Sí,NS/NR,NS/NR,Brazil,'Bastante satisfecho',Mala,Mala,NS/NR,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Regular,Injusta,NS/NR
NS/NR,Separado/Divorciado/Viudo,Masculino,86,Baja,No,NS/NR,NS/NR,Brazil,'Muy satisfecho',Buena,Buena,Igual,'Está progresando',NS/NR,NS/NR,Mejorará,'No tiene los medios',Regular,Justa,NS/NR
Bastante,'Casado/ Conviviente',Masculino,40,Baja,No,'Ni Demo-Ni No Demo',NS/NR,Brazil,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,NS/NR,Regular,Justa,NS/NR
'Poco - Nada','Casado/ Conviviente',Masculino,27,'Media baja',No,'Ni Demo-Ni No Demo',Centro,Brazil,'No muy satisfecho',Regular,Regular,'Un poco mejor','Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Bastante,Soltero,Masculino,18,Media,Sí,'Ni Demo-Ni No Demo',NS/NR,Brazil,'Bastante satisfecho',Buena,'Muy mala',NS/NR,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,65,'Media baja',Sí,NS/NR,NS/NR,Brazil,NS/NR,NS/NR,NS/NR,Igual,'No está progresando',NS/NR,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,Justa,NS/NR
'Poco - Nada',Soltero,Masculino,17,'Media baja',Sí,Democrático,NS/NR,Brazil,'Bastante satisfecho',Mala,Mala,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,Injusta,NS/NR
'Poco - Nada','Casado/ Conviviente',Femenino,58,'Media baja',No,'Ni Demo-Ni No Demo',NS/NR,Brazil,'Bastante satisfecho',Mala,'Muy mala',Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Femenino,26,'Media baja',Sí,'Ni Demo-Ni No Demo',NS/NR,Brazil,'Bastante satisfecho',Regular,NS/NR,Igual,'No está progresando',Mejorado,NS/NR,Mejorará,'Tiene los medios',Buena,Injusta,NS/NR
Bastante,Separado/Divorciado/Viudo,Masculino,69,'Media baja',Sí,Democrático,NS/NR,Brazil,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,NS/NR
'Poco - Nada',Separado/Divorciado/Viudo,Femenino,60,'Media baja',Sí,'Ni Demo-Ni No Demo',Izquierda,Brazil,'No muy satisfecho',Regular,Buena,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Separado/Divorciado/Viudo,Femenino,73,'Media baja',No,'Ni Demo-Ni No Demo',Centro,Brazil,'Bastante satisfecho',Regular,Mala,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'No tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,36,Media,Sí,'Ni Demo-Ni No Demo',Centro,Brazil,'Bastante satisfecho',Buena,Regular,'Un poco mejor','Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Soltero,Femenino,24,Media,Sí,'Ni Demo-Ni No Demo',Centro,Brazil,'Bastante satisfecho','Muy buena',Regular,'Un poco mejor','Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,65,'Media alta',Sí,'Ni Demo-Ni No Demo',Centro,Brazil,'Bastante satisfecho',Buena,Mala,'Un poco mejor','Está progresando','Se ha mantenido igual',NS/NR,Mejorará,'Tiene los medios',Buena,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,52,Media,Sí,'Ni Demo-Ni No Demo',Derecha,Brazil,'Bastante satisfecho',Regular,Buena,Igual,'No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Empeorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,Soltero,Masculino,20,Media,Sí,'Ni Demo-Ni No Demo',Centro,Brazil,'Bastante satisfecho',Mala,Mala,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,Separado/Divorciado/Viudo,Femenino,55,Baja,Sí,'Ni Demo-Ni No Demo',Izquierda,Brazil,'No muy satisfecho',Mala,Mala,Igual,'No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,58,Baja,Sí,'Ni Demo-Ni No Demo',Centro,Brazil,'Bastante satisfecho',Regular,Mala,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,'Muy injusta','A la gente como uno, nos da lo mismo un régimen democrático'
'Poco - Nada','Casado/ Conviviente',Masculino,39,Media,Sí,Democrático,NS/NR,Brazil,'Bastante satisfecho',Mala,Mala,'Un poco mejor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Femenino,36,Baja,No,Democrático,NS/NR,Brazil,'Bastante satisfecho',Mala,Mala,'Mucho peor','No está progresando','Se ha mantenido igual','Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
'Poco - Nada',Soltero,Masculino,20,Media,No,'Ni Demo-Ni No Demo',NS/NR,Brazil,'Bastante satisfecho',Regular,Mala,Igual,'No está progresando','Se ha mantenido igual','Para el bien de todo el pueblo','Seguirá igual','No tiene los medios',Buena,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
'Poco - Nada','Casado/ Conviviente',Masculino,44,Baja,No,'Ni Demo-Ni No Demo',NS/NR,Brazil,'Bastante satisfecho',Regular,Regular,'Un poco peor','Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Separado/Divorciado/Viudo,Femenino,50,Media,Sí,'Ni Demo-Ni No Demo',Centro,Brazil,'No muy satisfecho',Regular,'Muy mala',Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada','Casado/ Conviviente',Masculino,79,'Media baja',No,'No Democrático',Derecha,Brazil,'Bastante satisfecho',Regular,Mala,'Un poco mejor','Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Mala,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Soltero,Femenino,17,Media,Sí,'Ni Demo-Ni No Demo',Derecha,Brazil,'Bastante satisfecho',Buena,Buena,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'No tiene los medios','Muy buena',Justa,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Masculino,21,Media,Sí,Democrático,Centro,Brazil,'Bastante satisfecho',Buena,Regular,'Un poco mejor','No está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Justa,'En algunas circunstancias, un gobierno autoritario puede ser'
Mucho,Soltero,Femenino,49,Media,No,'Ni Demo-Ni No Demo',Centro,Brazil,'Bastante satisfecho',Regular,Regular,'Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Empeorará,'No tiene los medios',Buena,Justa,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Femenino,50,'Media baja',Sí,Democrático,NS/NR,Brazil,'Muy satisfecho',Buena,Mala,Igual,'Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,49,Media,Sí,'Ni Demo-Ni No Demo',NS/NR,Brazil,'Bastante satisfecho',Buena,Regular,'Un poco peor','Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,43,'Media baja',Sí,Democrático,NS/NR,Brazil,'Bastante satisfecho',Buena,Mala,'Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,32,Media,No,Democrático,Izquierda,Brazil,'No muy satisfecho',Regular,'Muy mala',Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,30,Baja,No,'Ni Demo-Ni No Demo',Derecha,Brazil,'Bastante satisfecho',Buena,Buena,'Un poco mejor','Está progresando','Se ha mantenido igual','Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Femenino,23,Media,Sí,'Ni Demo-Ni No Demo',NS/NR,Brazil,'Bastante satisfecho','Muy mala',Regular,Igual,'Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,28,'Media baja',No,Democrático,Centro,Brazil,'Bastante satisfecho',Buena,Mala,Igual,'Está progresando','Se ha mantenido igual','Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,Soltero,Masculino,16,'Media alta',Sí,Democrático,Centro,Brazil,'Muy satisfecho',Regular,Buena,'Un poco mejor','Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,33,Media,Sí,'Ni Demo-Ni No Demo',Centro,Brazil,'Bastante satisfecho',Regular,Regular,'Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,32,Media,Sí,Democrático,NS/NR,Brazil,'Bastante satisfecho',Regular,Regular,Igual,'Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Empeorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Soltero,Femenino,24,Media,No,'Ni Demo-Ni No Demo',Centro,Brazil,'Bastante satisfecho',Regular,Regular,'Un poco mejor','No está progresando','Se ha mantenido igual','Para el bien de todo el pueblo',NS/NR,'Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
Bastante,'Casado/ Conviviente',Masculino,40,Media,NS/NR,'Ni Demo-Ni No Demo',Derecha,Brazil,'Bastante satisfecho',Regular,'Muy mala','Un poco mejor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,55,'Media baja',Sí,'Ni Demo-Ni No Demo',Derecha,Brazil,'Bastante satisfecho',Mala,'Muy mala','Un poco peor','No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Masculino,39,'Media baja',Sí,'Ni Demo-Ni No Demo',Centro,Brazil,'Bastante satisfecho',Mala,'Muy mala','Un poco mejor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio','Seguirá igual','No tiene los medios',Buena,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
Bastante,'Casado/ Conviviente',Masculino,42,Baja,No,NS/NR,NS/NR,Brazil,'No muy satisfecho',Mala,'Muy mala','Un poco peor','No está progresando','Se ha mantenido igual','Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Mala,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
Bastante,Soltero,Masculino,22,Media,Sí,'Ni Demo-Ni No Demo',Centro,Brazil,'Bastante satisfecho',Regular,Mala,'Un poco mejor','Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Justa,'A la gente como uno, nos da lo mismo un régimen democrático'
Mucho,'Casado/ Conviviente',Femenino,31,Alta,Sí,Democrático,Centro,Brazil,'Bastante satisfecho',Buena,Mala,'Un poco peor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
NS/NR,'Casado/ Conviviente',Femenino,57,'Media baja',No,'Ni Demo-Ni No Demo',NS/NR,Brazil,'Bastante satisfecho',Regular,Regular,'Un poco mejor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Buena,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
Mucho,'Casado/ Conviviente',Femenino,42,Media,Sí,'Ni Demo-Ni No Demo',NS/NR,Brazil,'Bastante satisfecho','Muy mala','Muy mala','Mucho peor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Empeorará,'Tiene los medios',Buena,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada','Casado/ Conviviente',Masculino,42,'Media baja',Sí,'Ni Demo-Ni No Demo',NS/NR,Brazil,'Bastante satisfecho',Buena,Buena,Igual,'No está progresando','Se ha mantenido igual','Para el bien de todo el pueblo',NS/NR,'Tiene los medios',Buena,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada',Soltero,Masculino,28,Media,Sí,'Ni Demo-Ni No Demo',Centro,Brazil,'Bastante satisfecho',Regular,Mala,'Un poco peor','Está progresando','Se ha mantenido igual','Para el bien de todo el pueblo','Seguirá igual','Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,Soltero,Femenino,17,Media,Sí,'Ni Demo-Ni No Demo',Centro,Brazil,'Bastante satisfecho',Mala,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,'Muy injusta','A la gente como uno, nos da lo mismo un régimen democrático'
Bastante,'Casado/ Conviviente',Masculino,28,Media,Sí,'Ni Demo-Ni No Demo',Centro,Brazil,'Muy satisfecho',Buena,Mala,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Regular,'Muy injusta','A la gente como uno, nos da lo mismo un régimen democrático'
