"P37ST","S15","S16","S17","S14","S28D","P49ST.A","P49ST.B","P49ST.E","P76ST","P10ST","P4ST","S1NICC7","P6ST","P12ST","P13ST","IDENPA"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",29,"Media baja","Sí","6","6","7","7","Está progresando","Igual","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",31,"Media","Sí","9","7","9","3","Está progresando","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Soltero","Masculino",22,"Media","Sí","8","10 Totalmente democrático","8","10 Derecha","Está progresando","Un poco mejor","Poco","Buena","Muy justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",76,"Media baja","No","10 Totalmente democrático","10 Totalmente democrático","01 No es democrático","8","Está progresando","Un poco peor","Poco","Regular","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"La política no es tan complicada y se entiende","Soltero","Femenino",33,"Baja","No","10 Totalmente democrático","6","6","00 Izquierda","Está progresando","Igual","NS/NR","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",26,"Media baja","No","6","7","5","5","Está estancado","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",69,"Media baja","Sí","8","6","6","NS/NR","Está estancado","Igual","Bastante","Regular","Injusta","NS/NR","Brazil"
"La política no es tan complicada y se entiende","Soltero","Masculino",19,"Media baja","No","8","10 Totalmente democrático","NS/NR","5","Está estancado","Igual","NS/NR","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",59,"Media","Sí","3","5","5","NS/NR","Está progresando","Mucho peor","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",47,"Media alta","Sí","7","6","5","00 Izquierda","Está estancado","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política es tan complicada que no se entiende","Soltero","Masculino",29,"Media","Sí","8","7","8","9","Está progresando","Un poco mejor","NS/NR","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",32,"Media","Sí","8","8","8","5","Está progresando","Un poco mejor","Poco","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",49,"Media","Sí","4","6","7","4","Está estancado","Un poco peor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política es tan complicada que no se entiende","Soltero","Femenino",40,"Media","Sí","9","9","9","5","Está estancado","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Soltero","Femenino",23,"Media","No","7","9","4","5","Está estancado","Igual","Bastante","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Paraguay"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",60,"Media","Sí","7","6","7","5","Está en retroceso","Igual","NS/NR","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",50,"Media","Sí","8","8","8","7","Está progresando","Un poco mejor","Bastante","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",30,"Media","Sí","6","8","4","7","Está estancado","Un poco mejor","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",35,"Media baja","No","9","9","8","NS/NR","Está progresando","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",37,"Media","Sí","6","8","8","5","Está estancado","Igual","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",31,"Media baja","No","6","6","6","5","Está estancado","Igual","Bastante","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",41,"Media","No","10 Totalmente democrático","5","5","NS/NR","Está estancado","Igual","Mucho","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",54,"Media baja","Sí","4","9","4","3","Está estancado","Un poco mejor","Poco","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"La política es tan complicada que no se entiende","Soltero","Masculino",70,"Media baja","Sí","8","6","5","5","Está progresando","Un poco mejor","Mucho","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política es tan complicada que no se entiende","Soltero","Masculino",22,"Media","No","8","10 Totalmente democrático","10 Totalmente democrático","NS/NR","Está progresando","Un poco peor","Mucho","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",37,"Media baja","Sí","10 Totalmente democrático","8","10 Totalmente democrático","7","Está progresando","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política no es tan complicada y se entiende","Soltero","Masculino",35,"Baja","Sí","01 No es democrático","4","5","5","Está estancado","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",23,"Media","Sí","5","8","8","5","Está progresando","Un poco mejor","Mucho","Muy buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Ecuador"
"La política no es tan complicada y se entiende","Soltero","Masculino",35,"Media","Sí","6","8","8","5","Está progresando","Un poco mejor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",31,"Media","No","3","7","9","8","Está en retroceso","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",30,"Media baja","Sí","5","9","10 Totalmente democrático","NS/NR","Está estancado","Igual","Poco","Regular","NS/NR","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",33,"Baja","No","2","6","7","2","Está progresando","Un poco mejor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",38,"Media baja","No","7","7","7","4","Está en retroceso","Un poco peor","Mucho","Muy mala","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Venezuela"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",65,"Media","Sí","4","10 Totalmente democrático","5","8","Está estancado","Un poco peor","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",46,"Media","Sí","8","5","5","2","Está progresando","Un poco mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",45,"Media baja","No","10 Totalmente democrático","7","8","5","Está progresando","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",66,"Media","Sí","10 Totalmente democrático","7","6","3","Está progresando","Un poco mejor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",59,"Baja","No","8","9","NS/NR","NS/NR","Está estancado","Un poco peor","Bastante","Mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"La política es tan complicada que no se entiende","Soltero","Masculino",19,"Media","Sí","6","7","5","5","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",25,"Baja","No","5","7","4","NS/NR","Está en retroceso","Igual","Bastante","Regular","Muy justa","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",64,"Baja","No","4","2","6","9","Está estancado","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",52,"Media","No","3","6","01 No es democrático","NS/NR","Está estancado","Igual","Bastante","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Soltero","Masculino",27,"Media","Sí","5","3","6","9","Está progresando","Igual","Bastante","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Chile"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",72,"Media","No","5","5","5","4","Está progresando","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",47,"Media","Sí","5","7","6","5","Está progresando","Igual","Poco","Regular","NS/NR","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",25,"Media","Sí","6","5","7","4","Está progresando","Un poco mejor","Poco","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",71,"Media baja","No","6","6","6","10 Derecha","Está estancado","Mucho peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",24,"Media","No","7","8","6","6","Está progresando","Un poco mejor","Bastante","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",39,"Baja","No","10 Totalmente democrático","10 Totalmente democrático","6","5","Está estancado","Mucho peor","Poco","Mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",50,"Media","No","7","7","8","NS/NR","Está estancado","Igual","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",40,"Media alta","Sí","10 Totalmente democrático","6","6","NS/NR","Está progresando","Mucho mejor","Bastante","Buena","Justa","NS/NR","Venezuela"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",75,"Media baja","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","NS/NR","Está progresando","Igual","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",67,"Media baja","Sí","4","4","4","10 Derecha","Está estancado","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",37,"Baja","No","8","7","5","NS/NR","Está estancado","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",27,"Media","Sí","5","5","5","7","Está progresando","Un poco mejor","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",72,"Baja","Sí","6","8","6","8","Está estancado","Un poco peor","Poco","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",42,"Baja","No","7","7","7","5","Está en retroceso","Un poco peor","Mucho","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",65,"Media baja","No","4","6","6","5","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Soltero","Masculino",22,"Baja","No","9","6","7","8","Está progresando","Un poco mejor","Bastante","Mala","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Soltero","Masculino",19,"Media","Sí","6","6","6","4","Está progresando","Un poco peor","NS/NR","Regular","NS/NR","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",52,"Media","No","5","NS/NR","NS/NR","NS/NR","Está en retroceso","Mucho peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",25,"Baja","Sí","10 Totalmente democrático","9","8","2","Está progresando","Un poco mejor","Mucho","Buena","NS/NR","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",26,"Media baja","No","5","8","9","10 Derecha","Está progresando","Un poco mejor","Bastante","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",38,"Media","Sí","6","8","6","NS/NR","Está estancado","Un poco mejor","Bastante","Regular","Injusta","NS/NR","Brazil"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",52,"Media baja","No","8","7","9","5","Está progresando","Igual","NS/NR","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",35,"Media baja","Sí","7","8","7","3","Está progresando","Un poco mejor","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Uruguay"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",64,"Media","Sí","7","5","4","5","Está progresando","Igual","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",40,"Baja","No","4","10 Totalmente democrático","5","5","Está estancado","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política es tan complicada que no se entiende","Soltero","Masculino",26,"Media alta","Sí","4","7","5","NS/NR","Está en retroceso","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",73,"Media baja","No","8","10 Totalmente democrático","10 Totalmente democrático","4","Está estancado","Igual","Bastante","Mala","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Chile"
"La política no es tan complicada y se entiende","Soltero","Masculino",22,"Media","Sí","9","10 Totalmente democrático","10 Totalmente democrático","NS/NR","Está estancado","Un poco mejor","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",46,"Media","Sí","10 Totalmente democrático","7","6","6","Está progresando","Igual","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Soltero","Masculino",25,"Media","No","8","7","8","NS/NR","Está progresando","Un poco mejor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",73,"Media","Sí","10 Totalmente democrático","5","7","NS/NR","Está progresando","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",58,"Baja","No","6","8","9","NS/NR","Está estancado","Igual","Mucho","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",35,"Media","Sí","7","7","4","5","Está progresando","Un poco peor","Mucho","Muy buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"La política es tan complicada que no se entiende","Soltero","Masculino",18,"Media","No","5","6","6","5","Está estancado","Igual","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Bolivia"
"La política es tan complicada que no se entiende","Soltero","Femenino",19,"Baja","No","6","6","4","5","Está estancado","Mucho peor","Poco","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",25,"Media baja","No","4","5","7","5","Está estancado","Un poco peor","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",22,"Media","No","7","7","6","8","Está progresando","Igual","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",26,"Media","Sí","5","5","5","5","Está estancado","Un poco peor","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",58,"Media","Sí","01 No es democrático","01 No es democrático","4","NS/NR","Está en retroceso","Mucho peor","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",41,"Media","No","9","10 Totalmente democrático","10 Totalmente democrático","10 Derecha","Está estancado","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",28,"Media baja","No","8","9","6","5","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",48,"Baja","Sí","8","10 Totalmente democrático","8","10 Derecha","Está en retroceso","Un poco peor","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",59,"Media","Sí","5","7","7","5","Está progresando","Igual","Poco","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",26,"Media","Sí","4","8","7","5","Está progresando","Un poco mejor","Mucho","Buena","Justa","NS/NR","Ecuador"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",63,"Media","Sí","5","7","6","7","Está en retroceso","Un poco peor","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",48,"Baja","No","10 Totalmente democrático","5","5","8","Está progresando","Mucho mejor","Mucho","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",29,"Media","No","5","5","5","00 Izquierda","Está progresando","Igual","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Soltero","Femenino",25,"Media baja","No","5","5","5","5","Está estancado","Un poco peor","NS/NR","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política es tan complicada que no se entiende","Soltero","Masculino",18,"Media","No","5","5","5","8","Está estancado","Un poco peor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política es tan complicada que no se entiende","Soltero","Masculino",25,"Media","Sí","8","7","7","5","Está estancado","Un poco mejor","Bastante","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",64,"Media","Sí","6","5","3","NS/NR","Está en retroceso","Un poco mejor","Bastante","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Soltero","Masculino",18,"Media","Sí","7","7","7","NS/NR","Está progresando","NS/NR","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",28,"Media baja","No","7","8","7","6","Está estancado","Igual","Mucho","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",63,"Media baja","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","00 Izquierda","Está progresando","Un poco mejor","Poco","Buena","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"La política es tan complicada que no se entiende","Soltero","Masculino",18,"Media","Sí","5","10 Totalmente democrático","10 Totalmente democrático","5","Está estancado","Igual","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",52,"Media baja","No","10 Totalmente democrático","10 Totalmente democrático","8","NS/NR","Está progresando","Un poco mejor","Poco","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política no es tan complicada y se entiende","Soltero","Masculino",27,"Media baja","Sí","7","3","3","6","Está progresando","Igual","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",20,"Baja","No","9","5","6","8","Está progresando","Un poco mejor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",34,"Media baja","Sí","5","4","6","7","Está estancado","Igual","Poco","Mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",72,"Media baja","No","6","5","5","6","Está estancado","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",27,"Baja","No","8","6","7","5","Está progresando","Igual","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Soltero","Masculino",26,"Media baja","Sí","5","10 Totalmente democrático","7","5","Está progresando","Un poco mejor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",53,"Media baja","Sí","4","6","3","5","Está estancado","Igual","Bastante","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Brazil"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",40,"Baja","No","8","7","8","NS/NR","Está en retroceso","Un poco mejor","Poco","Mala","NS/NR","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"La política no es tan complicada y se entiende","Soltero","Femenino",24,"Baja","Sí","01 No es democrático","4","NS/NR","5","Está en retroceso","Igual","Bastante","Buena","Injusta","NS/NR","Brazil"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",22,"Media baja","No","8","10 Totalmente democrático","10 Totalmente democrático","4","Está progresando","Igual","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",78,"Baja","No","8","5","8","NS/NR","NS/NR","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Soltero","Masculino",19,"Media baja","No","6","5","5","7","Está progresando","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",40,"Media","No","6","8","7","NS/NR","Está estancado","Igual","Poco","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",25,"Baja","No","6","8","8","5","Está progresando","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",25,"Media baja","No","4","6","6","5","Está estancado","Igual","Mucho","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",32,"Media","Sí","6","8","8","5","Está estancado","Igual","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",56,"Media baja","No","5","7","8","8","Está estancado","Igual","Poco","Mala","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"La política no es tan complicada y se entiende","Soltero","Masculino",20,"Baja","No","5","8","5","NS/NR","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",60,"Baja","No","8","7","6","NS/NR","Está progresando","Un poco mejor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",34,"Media","Sí","5","5","5","NS/NR","Está estancado","Un poco mejor","Mucho","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",62,"Media","Sí","6","7","8","4","Está estancado","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",60,"Media","No","8","9","9","NS/NR","Está estancado","Mucho peor","Poco","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Soltero","Masculino",24,"Media","Sí","6","8","8","4","Está estancado","Igual","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política no es tan complicada y se entiende","Soltero","Femenino",25,"Media","No","4","6","7","10 Derecha","Está en retroceso","Igual","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",30,"Media baja","No","10 Totalmente democrático","10 Totalmente democrático","NS/NR","5","Está estancado","Mucho peor","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Brazil"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",35,"Media baja","No","4","2","8","NS/NR","Está estancado","Igual","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"La política es tan complicada que no se entiende","Soltero","Femenino",41,"Media baja","Sí","7","7","6","7","Está progresando","Igual","NS/NR","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Uruguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",40,"Media baja","Sí","6","5","6","2","Está progresando","Un poco mejor","NS/NR","Regular","Injusta","NS/NR","Ecuador"
"La política no es tan complicada y se entiende","Soltero","Masculino",25,"Baja","No","9","9","8","5","Está progresando","Un poco peor","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
